	raw_category	category	mpcat40	ade20k	ade20k_net					
65	baby changing station	baby changing station	misc	table	"toilet, can, commode, crapper, pot, potty, stool, throne"					
66	baby changing table	baby changing table	misc	table	table					
67	baby seat	baby seat	misc	seat	seat					
68	backpack	backpack	objects	bag	bag					
69	backrest	backrest	objects	seat	swivel chair					
70	backsplash	backsplash	misc	countertop	countertop					
71	bad	unknown	unlabeled	unlabeled	unlabeled					
72	badside cabinet	bedside cabinet	chest_of_drawers	cabinet	cabinet					
73	bag	bag	objects	bag	bag					
74	bag with sheets	bag with sheets	objects	bag	bag					
75	bag with something	bag with something	objects	bag	bag					
76	bags	bags	objects	bag	bag					
77	balcony	balcony	misc	"bannister, banister, balustrade, balusters, handrail"	"stairway, staircase"					
78	balcony railing	balcony railing	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
79	balcony reiling	balcony railing	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
80	balk	ball	misc	ball	ball					
81	ball	ball	misc	ball	ball					
82	ball chair	ball chair	chair	chair	ball					
83	ball pool	ball pool	objects	ball	ball					
84	ball pouffe	ball pouffe	seating	seat	ball					
85	balustrade	balustrade	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
86	banister	banister	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
87	banner	banner	misc	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
88	bar	bar	objects	bar	bar					
89	bar cabinet	bar cabinet	cabinet	cabinet	cabinet					
90	bar chair	bar chair	chair	chair	chair					
91	bar soap	bar soap	misc	bar	bar					
92	barbecue	barbecue	misc	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
93	barbell	barbell	gym_equipment	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
94	barrel	barrel	misc	"barrel, cask"	"barrel, cask"					
95	bascet	basket	objects	"basket, handbasket"	"basket, handbasket"					
96	base	base	misc	"base, pedestal, stand"	"base, pedestal, stand"					
97	baseball bat	baseball bat	objects	ball	ball					
98	baseball cap	baseball cap	objects	clothes	trade name					
99	baseboard	baseboard	wall	wall	countertop					
100	basin	basin	sink	sink	lake					
101	basin faucet	basin faucet	objects	sink	water					
102	basket	basket	objects	"basket, handbasket"	"basket, handbasket"					
103	basket /w books	basket with books	objects	"basket, handbasket"	"basket, handbasket"					
104	basket of fruits	basket of fruits	objects	"basket, handbasket"	"basket, handbasket"					
105	basket of something	basket of something	misc	"basket, handbasket"	"basket, handbasket"					
106	basket of towels	basket of towels	misc	"basket, handbasket"	"basket, handbasket"					
107	basket with clothes	basket with clothes	objects	"basket, handbasket"	"basket, handbasket"					
108	basket wqith clothes	basket with clothes	objects	"basket, handbasket"	"basket, handbasket"					
109	basketball hoop	basketball hoop	gym_equipment	"basket, handbasket"	"basket, handbasket"					
110	basketballs	basketballs	objects	"plaything, toy"	"plaything, toy"					
111	baskets	baskets	objects	"basket, handbasket"	"basket, handbasket"					
112	bat tube	bath tub	bathtub	tub	tub					
113	bath	bath	bathtub	tub	tub					
114	bath bar	bath bar	misc	bar	bar					
115	bath cabinet	bath cabinet	cabinet	cabinet	cabinet					
116	bath carpet	bath carpet	floor	rug	rug					
117	bath cosmetics	bath cosmetics	objects	tub	tub					
118	bath curtain	bath curtain	curtain	curtain	curtain					
119	bath curtain bar	bath curtain bar	misc	bar	curtain					
120	bath dial	bath dial	misc	tub	tub					
121	bath door	bath door	door	door	door					
122	bath door frame	bath door frame	door	door	door					
123	bath faucet	bath faucet	objects	tub	tub					
124	bath floor	bath floor	floor	floor	floor					
125	bath grab bar	bath grab bar	misc	bar	bar					
126	bath hanger	bath hanger	objects	tub	tub					
127	bath mat	bath mat	floor	floor	tub					
128	bath shelf	bath shelf	shelving	shelf	shelf					
129	bath shower	bath shower	shower	shower	shower					
130	bath side table	bath side table	table	table	table					
131	bath sink	bath sink	misc	sink	sink					
132	bath tap	bath tap	objects	tub	tub					
133	bath towel	bath towel	towel	towel	towel					
134	bath towels	bath towels	towel	towel	towel					
135	bath tub	bath tub	bathtub	tub	tub					
136	bath tube	bath tub	bathtub	tub	tub					
137	bath utensil	bath utensil	misc	tub	tub					
138	bath wall	bath wall	misc	wall	wall					
139	bathmat	bathmat	floor	rug	"ottoman, pouf, pouffe, puff, hassock"					
140	bathrobe	bathrobe	clothes	clothes	towel					
141	bathroom  mat	bathroom mat	floor	floor	"toilet, can, commode, crapper, pot, potty, stool, throne"					
142	bathroom accessory	bathroom accessory	clothes	clothes	shower					
143	bathroom art	bathroom art	objects	"painting, picture"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
144	bathroom cabinet	bathroom cabinet	cabinet	cabinet	cabinet					
145	bathroom cabinet door	bathroom cabinet door	misc	cabinet	door					
146	bathroom cabinet drawer	bathroom cabinet drawer	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	cabinet					
147	bathroom cabint	bathroom cabinet	cabinet	cabinet	cabinet					
148	bathroom counter	bathroom counter	counter	counter	counter					
149	bathroom floor	bathroom floor	floor	floor	floor					
150	bathroom glass	bathroom glass	objects	"glass, drinking glass"	"glass, drinking glass"					
151	bathroom mat	bathroom mat	floor	floor	"toilet, can, commode, crapper, pot, potty, stool, throne"					
152	bathroom mirror	mirror	mirror	mirror	mirror					
153	bathroom rug	bathroom rug	floor	rug	rug					
154	bathroom shelf	bathroom shelf	shelving	shelf	shelf					
155	bathroom stuff	bathroom stuff	objects	cabinet	"toilet, can, commode, crapper, pot, potty, stool, throne"					
156	bathroom towel	bathroom towel	towel	towel	towel					
157	bathroom utencills	bathroom utensils	objects	cabinet	"toilet, can, commode, crapper, pot, potty, stool, throne"					
158	bathroom utencils	bathroom utensil	objects	cabinet	"toilet, can, commode, crapper, pot, potty, stool, throne"					
159	bathroom utensil	bathroom utensil	objects	cabinet	"toilet, can, commode, crapper, pot, potty, stool, throne"					
160	bathroom wall	bathroom wall	wall	wall	wall					
161	bathroom window	bathroom window	window	window	window					
162	bathtub	bathtub	bathtub	tub	tub					
163	bathtub knob	bathtub knob	misc	tub	tub					
164	bathtub platform	bathtub platform	misc	tub	tub					
165	bathtub tap	bathtub tap	objects	tub	tub					
166	bathtub utensil	bathtub utensil	misc	tub	tub					
167	bathtube	bathtub	bathtub	tub	tub					
168	batroom art	bathroom art	objects	"painting, picture"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
169	beam	beam	beam	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
170	bean bag chair	bean bag chair	chair	chair	bag					
171	beanbag	beanbag	chair	chair	sofa					
172	beanbag chair	beanbag chair	chair	chair	chair					
173	bed	bed	bed	bed	bed					
174	bed base	bed base	bed	bed	bed					
175	bed cabinet	bed cabinet	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	cabinet					
176	bed cabinet lamp	bed cabinet lamp	lighting	lamp	lamp					
177	bed comforter	bed comforter	misc	seat	bed					
178	bed curtain	bed curtain	misc	curtain	curtain					
179	bed for pet	bed for pet	misc	seat	bed					
180	bed frame	bedframe	bed	bed	"bannister, banister, balustrade, balusters, handrail"					
181	bed ladder	bed ladder	stairs	stairs	bed					
182	bed lamp	bedside lamp	lighting	lamp	lamp					
183	bed light	bed light	misc	lamp	bed					
184	bed sheet	bed sheet	bed	bed	bed					
185	bed small	bed small	misc	bed	bed					
186	bed stand	bed stand	misc	bed	bed					
187	bed table	bed table	table	table	bed					
188	bedding	bedding	objects	clothes	bed					
189	bedframe	bedframe	bed	bed	"bannister, banister, balustrade, balusters, handrail"					
190	bedpost	bedpost	bed	bed	"bannister, banister, balustrade, balusters, handrail"					
191	bedroom ceiling	bedroom ceiling	misc	ceiling	ceiling					
192	bedroom table	bedroom table	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	table					
193	bedside cabinet	bedside cabinet	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	cabinet					
194	bedside cabinet door	bedside cabinet door	misc	cabinet	cabinet					
195	bedside cabinet drawer	bedside cabinet drawer	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	cabinet					
196	bedside lamp	bedside lamp	lighting	lamp	lamp					
197	bedside table	bedside table	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	lamp					
198	beer crate	beer crate	misc	bottle	bottle					
199	bell	bell	misc	clock	clock					
200	belt	belt	misc	clothes	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
201	bench	bench	seating	bench	bench					
202	beside table	bedside table	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	table					
203	bicycle	bicycle	objects	bicycle	bicycle					
204	bicycle helmet	bicycle helmet	objects	bicycle	bicycle					
205	bicycle helmets	bicycle helmets	objects	bicycle	bicycle					
206	bidet	bidet	toilet	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
207	big bag	big bag	objects	bag	bag					
208	bike	bicycle	objects	bag	bag					
209	billiard balls	billiard balls	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
210	billiard cue	billiard cue	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
211	billiard cues	billiard cues	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
212	bin	bin	objects	"basket, handbasket"	"pool table, billiard table, snooker table"					
213	binder	binder	misc	bookcase	tray					
214	binders	binders	misc	bookcase	bookcase					
215	birdhouse	birdhouse	misc	bookcase	sculpture					
216	brackboard	blackboard	objects	"signboard, sign"	"ottoman, pouf, pouffe, puff, hassock"					
217	blackboard	blackboard	objects	"signboard, sign"	"ottoman, pouf, pouffe, puff, hassock"					
218	blanket	blanket	objects	"blanket, cover"	"blanket, cover"					
219	blanket basket	blanket basket	objects	"basket, handbasket"	"basket, handbasket"					
220	blankets	blankets	objects	"blanket, cover"	"blanket, cover"					
221	blind	blinds	blinds	"blind, screen"	fireplace					
222	blinder	blinds	blinds	"blind, screen"	fireplace					
223	blinds	blinds	blinds	"blind, screen"	fireplace					
224	blouse	blouse	clothes	clothes	"wardrobe, closet, press"					
225	board	board	board_panel	bulletin board	bulletin board					
226	board game	board game	misc	"plaything, toy"	bulletin board					
227	board games	board games	misc	"plaything, toy"	bulletin board					
228	board with keys	board with keys	objects	bulletin board	bulletin board					
229	boards	boards	board_panel	bulletin board	bulletin board					
230	boat model	boat model	misc	boat	boat					
231	boiler	boiler	misc	stove	stove					
232	bojler	boiler	misc	stove	stove					
233	bonsai tree	bonsai tree	misc	tree	tree					
234	book	book	objects	book	book					
235	book cabinet	book cabinet	cabinet	book	cabinet					
236	book display	book display	misc	book	book					
237	book rack	book rack	misc	book	book					
238	book shape	bookshelf	shelving	bookcase	bookcase					
239	book shelf	bookshelf	shelving	bookcase	bookcase					
240	bookcase	bookshelf	shelving	bookcase	bookcase					
241	books	book	objects	book	book					
242	bookshelf	bookshelf	shelving	bookcase	bookcase					
243	bookstand	bookstand	shelving	bookcase	bookcase					
244	bootles	bottles	objects	bottle	bottle					
245	boots	boots	objects	clothes	clothes					
246	bottle	bottle	objects	bottle	bottle					
247	bottle dispenser	bottle dispenser	objects	bottle	bottle					
248	bottle of  soap	bottle of soap	misc	bottle	bottle					
249	bottle of detergent	bottle of detergent	misc	bottle	bottle					
250	bottle of soap	bottle of soap	misc	bottle	bottle					
251	bottle of water	bottle of water	objects	bottle	bottle					
252	bottle of wine	bottle of wine	objects	bottle	bottle					
253	bottle opener	bottle opener	misc	unlabeled	bottle					
254	bottlels	bottles	objects	bottle	bottle					
255	bottles	bottles	objects	bottle	bottle					
256	bottles of water	bottles of water	objects	bottle	bottle					
257	bottles of wine	bottles of wine	misc	bottle	bottle					
258	bottom of stairs	bottom of stairs	misc	stairs	bottle					
259	bouquet	bouquet	objects	flower	flower					
260	bowl	bowl	objects	vase	vase					
261	bowl of fruit	bowl of fruit	objects	vase	vase					
262	bowl of fruits	bowl of fruits	objects	vase	vase					
263	bowl of sweets	bowl of sweets	objects	vase	vase					
264	bowl with sweets	bowl with sweets	objects	vase	"food, solid food"					
265	bowls	bowls	objects	vase	"pool table, billiard table, snooker table"					
266	box	box	objects	box	box					
267	box with books	box with books	misc	box	box					
268	box /w books	box with books	misc	box	box					
269	box /w shoes	box with shoes	misc	box	box					
270	box /w toys	box with toys	misc	box	box					
271	box of  tissues	box of tissues	misc	box	box					
272	box of food	box of food	misc	box	box					
273	box of fruit	box of fruit	misc	box	box					
274	box of paper	box of paper	misc	box	box					
275	box of something	box of something	misc	box	box					
276	box of tissue	box of tissue	misc	box	box					
277	box of tissues	box of tissues	misc	box	box					
278	box pen	box pen	misc	box	box					
279	box tissues	box of tissues	misc	box	box					
280	box with jewellery	box with jewelry	misc	box	box					
281	box with photos	box with photos	misc	box	box					
282	box with tea	box with tea	misc	box	box					
283	boxes	boxes	objects	box	box					
284	boxes /w books	boxes with books	misc	box	box					
285	boxing ring	boxing ring	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
286	bread	bread	misc	"food, solid food"	"food, solid food"					
287	bread bin	bread bin	misc	tray	tray					
288	bread box	bread box	misc	tray	box					
289	breadbox	breadbox	misc	tray	tray					
290	breifcase	briefcase	objects	bag	bag					
291	bricks	bricks	misc	"rock, stone"	"rock, stone"					
292	bridge	bridge	misc	"bridge, span"	"bridge, span"					
293	briefcase	briefcase	objects	bag	bag					
294	brochure	brochure	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
295	brochures	brochures	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
296	broom	broom	objects	"bannister, banister, balustrade, balusters, handrail"	rug					
297	broom stick	broomstick	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
298	broomstick	broomstick	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
299	brtochure	brochure	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
300	brush	brush	objects	unlabeled	"palm, palm tree"					
301	brushes	brushes	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
302	bucket	bucket	objects	"basket, handbasket"	"basket, handbasket"					
303	buckets	buckets	objects	"basket, handbasket"	"basket, handbasket"					
304	buffet	buffet	counter	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
305	bulletin board	bulletin board	tv_monitor	bulletin board	bulletin board					
306	bunk bed	bunk bed	bed	bed	bed					
307	bureau	bureau	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
308	bust	bust	objects	sculpture	"toilet, can, commode, crapper, pot, potty, stool, throne"					
309	button	button	misc	"screen door, screen"	"screen door, screen"					
310	cabidet	cabinet	cabinet	cabinet	cabinet					
311	cabient	cabinet	cabinet	cabinet	cabinet					
312	cabiinet	cabinet	cabinet	cabinet	cabinet					
313	cabinet	cabinet	cabinet	cabinet	cabinet					
314	cabinet  door	cabinet door	misc	cabinet	cabinet					
315	cabinet /otherroom	cabinet /otherroom	cabinet	cabinet	cabinet					
316	cabinet /w clutter	cabinet /w clutter	cabinet	cabinet	cabinet					
317	cabinet /w cluttered art	cabinet /w cluttered art	misc	cabinet	cabinet					
318	cabinet clutter	cabinet clutter	misc	cabinet	cabinet					
319	cabinet counter	cabinet counter	misc	cabinet	cabinet					
320	cabinet door	cabinet door	misc	cabinet	cabinet					
321	cabinet drawer	cabinet drawer	cabinet	cabinet	cabinet					
322	cabinet kitchen	cabinet kitchen	cabinet	cabinet	cabinet					
323	cabinet mirror	cabinet mirror	cabinet	cabinet	cabinet					
324	cabinet parts	cabinet parts	cabinet	cabinet	cabinet					
325	cabinet table	cabinet table	table	table	cabinet					
326	cable	cable	misc	unlabeled	tv					
327	cables	cables	misc	unlabeled	"bannister, banister, balustrade, balusters, handrail"					
328	cage	cage	objects	animal	tub					
329	cailing lamp	ceiling lamp	lighting	lamp	lamp					
330	cair	chair	chair	chair	chair					
331	cake	cake	misc	"food, solid food"	tray					
332	calander	calendar	misc	"poster, posting, placard, notice, bill, card"	bulletin board					
333	calculator	calculator	appliances	computer	computer					
334	calendar	calendar	misc	"poster, posting, placard, notice, bill, card"	bulletin board					
335	camera	camera	objects	computer	crt screen					
336	camping chair	camping chair	chair	chair	chair					
337	can	can	objects	"tank, storage tank"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
338	can of paint	can of paint	misc	"tank, storage tank"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
339	canal	canal	misc	river	river					
340	candel	candle	objects	chandelier	lamp					
341	candelabra	candelabra	objects	chandelier	chandelier					
342	candle	candle	objects	chandelier	lamp					
343	candle holder	candle holder	objects	chandelier	lamp					
344	candle stand	candle stand	objects	chandelier	"base, pedestal, stand"					
345	candles	candle	objects	chandelier	lamp					
346	candlestick	candlestick	objects	chandelier	chandelier					
347	canister	canister	misc	chandelier	chandelier					
348	canoe	canoe	objects	boat	boat					
349	canopy	canopy	misc	canopy	canopy					
350	cans	cans	objects	"tank, storage tank"	bottle					
351	cans of paint	cans of paint	objects	"tank, storage tank"	bottle					
352	canvas	canvas	misc	"painting, picture"	"painting, picture"					
353	cap	cap	clothes	clothes	ceiling					
354	car	car	objects	car	car					
355	car model	car model	objects	car	car					
356	carboard box	cardboard box	misc	box	box					
357	card	card	misc	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
358	cardboard	cardboard	misc	"poster, posting, placard, notice, bill, card"	"ottoman, pouf, pouffe, puff, hassock"					
359	cardboard box	cardboard box	misc	box	box					
360	cardboardbox	cardboard box	misc	box	box					
361	carpet	carpet	floor	rug	rug					
362	carpet roll	carpet roll	misc	rug	rug					
363	cart	cart	objects	"poster, posting, placard, notice, bill, card"	truck					
364	cartboard	cardboard	misc	"poster, posting, placard, notice, bill, card"	"ottoman, pouf, pouffe, puff, hassock"					
365	case	case	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
366	cases	cases	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
367	cash register	cash register	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
368	casket	casket	misc	box	vase					
369	cat	cat	misc	animal	animal					
370	cat bed	cat bed	bed	bed	bed					
371	cat food	cat food	misc	"food, solid food"	"food, solid food"					
372	cat food bag	cat food bag	misc	bag	bag					
373	cat litter box	cat litter box	toilet	"toilet, can, commode, crapper, pot, potty, stool, throne"	box					
374	cat tree	cat tree	objects	tree	tree					
375	cats toilet	cat toilet	toilet	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
376	cd	cd	objects	computer	tv					
377	cd player	cd player	appliances	computer	fan					
378	cd's	cds	objects	computer	tv					
379	cds	cds	objects	computer	tv					
380	cebinet	cabinet	cabinet	cabinet	cabinet					
381	ceiiling	ceiling	ceiling	ceiling	ceiling					
382	ceiling balk	unknown	unlabeled	unlabeled	unlabeled					
383	ceiilng	ceiling	ceiling	ceiling	ceiling					
384	ceiliing	ceiling	ceiling	ceiling	ceiling					
385	ceiliing lamp	ceiling lamp	lighting	lamp	lamp					
386	ceiling	ceiling	ceiling	ceiling	ceiling					
387	ceiling  lamp	ceiling lamp	lighting	lamp	lamp					
388	ceiling  light	ceiling light	lighting	ceiling	ceiling					
389	ceiling  vent	ceiling vent	misc	ceiling	ceiling					
390	ceiling /otheroom	ceiling	ceiling	ceiling	ceiling					
391	ceiling /otherroom	ceiling	ceiling	ceiling	ceiling					
392	ceiling air vent	ceiling vent	misc	"hood, exhaust hood"	ceiling					
393	ceiling arch	ceiling arch	ceiling	ceiling	ceiling					
394	ceiling bedroom	ceiling bedroom	misc	ceiling	ceiling					
395	ceiling boarder	ceiling boarder	misc	ceiling	ceiling					
396	ceiling border	ceiling border	ceiling	ceiling	ceiling					
397	ceiling chasis	ceiling chassis	ceiling	ceiling	ceiling					
398	ceiling corridor	ceiling corridor	misc	ceiling	ceiling					
399	ceiling decorative lamp	ceiling decorative lamp	lighting	lamp	lamp					
400	ceiling dome	ceiling dome	misc	ceiling	ceiling					
401	ceiling door	ceiling door	misc	ceiling	ceiling					
402	ceiling duck	ceiling duct	ceiling	ceiling	ceiling					
403	ceiling duct	ceiling duct	ceiling	ceiling	ceiling					
404	ceiling fan	ceiling fan	objects	fan	fan					
405	ceiling fan lamp	ceiling fan lamp	lighting	fan	lamp					
406	ceiling fan vent	ceiling fan vent	misc	fan	ceiling					
407	ceiling fire detector	ceiling fire detector	objects	ceiling	ceiling					
408	ceiling fixture	ceiling fixture	misc	ceiling	ceiling					
409	ceiling floor	ceiling floor	floor	ceiling	ceiling					
410	ceiling hanger	ceiling hanger	objects	ceiling	ceiling					
411	ceiling ladder	ceiling ladder	objects	ceiling	ceiling					
412	ceiling lamp	ceiling lamp	lighting	lamp	lamp					
413	ceiling lamp hanger	ceiling lamp hanger	lighting	lamp	lamp					
414	ceiling lamp rail	ceiling lamp rail	lighting	lamp	lamp					
415	ceiling lan	ceiling fan	objects	fan	fan					
416	ceiling light	ceiling light	lighting	lamp	ceiling					
417	ceiling light fixture connection	ceiling light fixture connection	misc	lamp	ceiling					
418	ceiling llower	ceiling lower	misc	ceiling	ceiling					
419	ceiling lower	ceiling lower	misc	ceiling	ceiling					
420	ceiling molding	ceiling molding	misc	ceiling	ceiling					
421	ceiling panel	ceiling panel	ceiling	ceiling	ceiling					
422	ceiling pipe	ceiling pipe	ceiling	ceiling	ceiling					
423	ceiling pipes	ceiling pipe	ceiling	ceiling	ceiling					
424	ceiling support	ceiling support	ceiling	ceiling	ceiling					
425	ceiling under staircase	ceiling under staircase	misc	"stairway, staircase"	"stairway, staircase"					
426	ceiling under stairs	ceiling under stairs	misc	stairs	stairs					
427	ceiling vent	ceiling vent	misc	ceiling	ceiling					
428	ceiling wall	ceiling wall	misc	ceiling	ceiling					
429	ceiling window	ceiling window	misc	ceiling	ceiling					
430	ceiling/ wall west	ceiling/west wall	misc	ceiling	ceiling					
431	ceiling/ west wall	ceiling/west wall	misc	ceiling	ceiling					
432	ceiling/west wall	ceiling/west wall	misc	ceiling	ceiling					
433	ceilling	ceiling	ceiling	ceiling	ceiling					
434	ceilling lamp	ceiling lamp	lighting	lamp	lamp					
435	celing	ceiling	ceiling	ceiling	ceiling					
436	celing lamp	ceiling lamp	lighting	lamp	lamp					
437	celing lower	ceiling lower	misc	ceiling	ceiling					
438	central heating furnace	central heating furnace	appliances	stove	stove					
439	ceramics	ceramics	objects	vase	"painting, picture"					
440	cerpet	carpet	floor	rug	rug					
441	certain	curtain	curtain	curtain	curtain					
442	chain	chain	objects	"food, solid food"	"food, solid food"					
443	chair	chair	chair	chair	chair					
444	chair /otherroom	chair	chair	chair	chair					
445	chair /w clutter	chair /w clutter	chair	chair	chair					
446	chair stand	chair stand	misc	chair	chair					
447	chaise	chaise	chair	chair	"ottoman, pouf, pouffe, puff, hassock"					
448	chaise longue	chaise longue	sofa	sofa	"ottoman, pouf, pouffe, puff, hassock"					
449	chamber pot	chamber pot	toilet	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
450	chandelier	chandelier	lighting	chandelier	chandelier					
451	changing table	changing table	table	table	table					
452	charger	charger	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
453	chasis	chassis	objects	radiator	radiator					
454	chess	chess	misc	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
455	chest	chest	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
456	chest bench	chest bench	misc	bench	bench					
